"1,Harvard University"
"2,Stanford University"
"3,University of Cambridge"
"4,Massachusetts Institute of Technology (MIT)"
"5,University of California, Berkeley"
"6,Princeton University"
"7,University of Oxford"
"8,Columbia University"
"9,California Institute of Technology"
"10,University of Chicago"
"11,University of California, Los Angeles"
"11,Yale University"
"13,Cornell University"
"14,University of Washington"
"15,University College London"
"16,Johns Hopkins University"
"17,University of Pennsylvania"
"18,University of California, San Diego"
"19,Swiss Federal Institute of Technology Zurich"
"20,University of California, San Francisco"
"20,University of Michigan-Ann Arbor"
"22,Washington University in St. Louis"
"23,Imperial College London"
"24,University of Toronto"
"25,The University of Tokyo"
"26,University of Copenhagen"
"27,University of Wisconsin - Madison"
"28,Duke University"
"29,Northwestern University"
"30,New York University"
"31,The University of Edinburgh"
"32,Kyoto University"
"33,The University of Manchester"
"33,University of North Carolina at Chapel Hill"
"35,Rockefeller University"
"35,University of British Columbia"
"37,University of Paris-Sud (Paris "
"38,Karolinska Institute"
"38,University of Colorado at Boulder"
"38,University of Illinois at Urbana-Champaign"
"41,The University of Melbourne"
"41,University of Minnesota, Twin Cities"
"43,Tsinghua University"
"44,Sorbonne University"
"45,The University of Texas at Austin"
"46,University of Maryland, College Park"
"47,Heidelberg University"
"48,University of California, Santa Barbara"
"49,The University of Texas Southwestern Medical Center at Dallas"
"49,Utrecht University"
"51,King's College London"
"52,University of Munich"
"53,Peking University"
"54,The University of Queensland"
"55,University of Southern California"
"55,Vanderbilt University"
"57,Technical University Munich"
"58,University of Geneva"
"59,University of Oslo"
"60,Aarhus University"
"61,University of Zurich"
"62,Uppsala University"
"63,University of Helsinki"
"64,University of Bristol"
"65,University of Groningen"
"66,Ghent University"
"67,National University of Singapore"
"68,Erasmus University Rotterdam"
"68,The University of Texas M. D. Anderson Cancer Center"
"70,University of Bonn"
"70,Zhejiang University"
"72,Purdue University - West Lafayette"
"73,Monash University"
"73,Nanyang Technological University"
"73,Stockholm University"
"76,Boston University"
"76,The Australian National University"
"78,Swiss Federal Institute of Technology Lausanne"
"79,Ecole Normale Superieure - Paris"
"80,University of California, Irvine"
"80,University of Sydney"
"82,Leiden University"
"82,Shanghai Jiao Tong University"
"84,Brown University"
"85,KU Leuven"
"85,Technion-Israel Institute of Technology"
"87,Moscow State University"
"87,University of Basel"
"89,University of Pittsburgh, Pittsburgh Campus"
"90,McGill University"
"90,McMaster University"
"90,Nagoya University"
"90,University of California, Davis"
"94,The University of New South Wales"
"95,Carnegie Mellon University"
"95,Rice University"
"95,University of Florida"
"98,Pennsylvania State University - University Park"
"99,The University of Western Australia"
"100,The Ohio State University - Columbus"
"101-150,Aix Marseille University"
"101-150,Arizona State University"
"101-150,Baylor College of Medicine"
"101-150,Cardiff University"
"101-150,Case Western Reserve University"
"101-150,Emory University"
"101-150,Fudan University"
"101-150,Georgia Institute of Technology"
"101-150,Huazhong University of Science and Technology"
"101-150,Icahn School of Medicine at Mount Sinai"
"101-150,Indiana University Bloomington"
"101-150,King Abdulaziz University"
"101-150,Lund University"
"101-150,Mayo Medical School"
"101-150,Michigan State University"
"101-150,Norwegian University of Science and Technology - NTNU"
"101-150,Radboud University Nijmegen"
"101-150,Rutgers, The State University of New Jersey - New Brunswick"
"101-150,Seoul National University"
"101-150,Sun Yat-sen University"
"101-150,Technical University of Denmark"
"101-150,The Chinese University of Hong Kong"
"101-150,The Hebrew University of Jerusalem"
"101-150,The University of Adelaide"
"101-150,The University of Hong Kong"
"101-150,The University of Sheffield"
"101-150,Tohoku University"
"101-150,Tokyo Institute of Technology"
"101-150,Université Grenoble Alpes"
"101-150,University of Alberta"
